"Zeitstempel","Mentale Anstrengung: Wie hoch war der benötigte Anteil an mentaler Aktivität? (Denken, Entscheiden, Rechnen, Erinnern, Schauen, Suchen usw.)","Physische Anstrengung: Wie hoch war der benötigte Anteil an physischer Aktivität? (Drücken, Ziehen, Drehen, Kontrollieren, Aktivieren usw.)","Zeitliche Anstrengung: Wie hoch empfanden Sie den Zeitdruck der zur Ausübung des Tasks vorhanden war?","Bemühung: Wie hart mussten Sie mental und physisch arbeiten um den Task zu meistern?","Leistung: Wie zufrieden sind Sie mit ihrem Ergebnis?","Frustrationslevel: Wie unsicher, irritiert, gestresst und verärgert fühlen Sie sich bei der Bewältigung des Tasks? "
"2017/11/15 2:23:52 nachm. MEZ","9","10","1","9","7","13"
"2017/11/15 3:11:13 nachm. MEZ","15","3","5","13","12","13"
"2017/11/15 3:28:20 nachm. MEZ","15","5","10","10","10","13"
"2017/11/15 5:23:21 nachm. MEZ","11","2","5","10","17","8"
"2017/11/15 5:43:18 nachm. MEZ","3","1","1","4","15","1"
"2017/11/17 11:36:10 vorm. MEZ","12","3","8","15","10","13"
"2017/11/17 1:14:28 nachm. MEZ","6","1","1","6","8","1"
"2017/11/21 10:07:06 vorm. MEZ","4","3","2","3","14","2"
"2017/11/21 1:02:35 nachm. MEZ","2","2","4","2","9","9"
"2017/11/21 1:49:17 nachm. MEZ","4","3","1","6","10","7"
"2017/11/21 3:24:26 nachm. MEZ","3","4","3","3","20","2"
"2017/11/23 10:39:04 vorm. MEZ","7","9","2","6","10","5"
"2017/11/23 1:47:29 nachm. MEZ","5","14","1","5","10","13"
"2017/11/23 4:08:13 nachm. MEZ","5","4","1","7","10","3"
"2017/11/24 10:54:18 vorm. MEZ","5","2","2","5","15","1"
"2017/11/24 1:00:46 nachm. MEZ","3","8","3","6","11","7"
"2017/11/24 2:11:22 nachm. MEZ","4","6","2","4","14","3"
