"Zeitstempel","The game controls seemed natural","The actions used to interact with the game environment were similar to the actions that would be used to do the same things in the real world","The game interface was not realistic ","The game environment was manipulated in a lifelike manner","The actions I performed with the controller were closely connected to the actions happening in the game environment","The actions used to control the game seemed natural","The way in which I controlled my character felt realistic","The controller itself made the game seem more realistic","It was much more difficult to control my character than I expected it to be","I felt like the controller was an extension of my body","When I tried to hit the puck, the controls made it seem realistic","The controller allowed me to do everything I needed to, to be successful in the game"
"2017/11/15 2:26:39 nachm. MEZ","3","6","4","7","2","3","4","7","4","6","1","2"
"2017/11/15 3:13:15 nachm. MEZ","2","2","6","1","2","2","2","3","6","2","1","2"
"2017/11/15 3:30:18 nachm. MEZ","3","2","4","3","4","5","2","6","6","3","3","2"
"2017/11/15 5:20:10 nachm. MEZ","4","5","4","5","3","4","4","7","5","5","5","6"
"2017/11/15 5:45:27 nachm. MEZ","2","3","4","2","5","4","3","6","6","3","2","4"
"2017/11/17 11:37:19 vorm. MEZ","4","3","4","4","3","5","5","5","4","4","3","5"
"2017/11/17 1:12:31 nachm. MEZ","4","3","5","6","4","4","6","4","6","5","1","1"
"2017/11/21 10:06:26 vorm. MEZ","5","5","3","4","5","5","6","6","4","4","5","6"
"2017/11/21 1:03:16 nachm. MEZ","6","4","6","5","6","6","5","7","3","7","4","6"
"2017/11/21 1:48:17 nachm. MEZ","5","5","4","6","6","6","4","5","2","6","2","4"
"2017/11/21 3:25:47 nachm. MEZ","6","6","2","5","7","7","4","6","4","5","5","7"
"2017/11/23 10:39:42 vorm. MEZ","6","6","4","5","5","6","4","6","2","5","5","6"
"2017/11/23 1:49:33 nachm. MEZ","5","4","2","4","5","6","5","6","2","3","5","4"
"2017/11/23 4:09:07 nachm. MEZ","6","7","1","6","6","6","5","7","2","5","5","7"
"2017/11/24 10:55:59 vorm. MEZ","6","5","4","6","7","6","6","7","2","5","6","6"
"2017/11/24 12:59:42 nachm. MEZ","5","6","2","5","6","6","4","5","5","6","4","4"
"2017/11/24 2:12:32 nachm. MEZ","6","6","4","6","5","5","6","5","3","5","4","7"
