"Zeitstempel","I think that I would like to use this system  frequently.","I found the system unnecessarily complex","I thought the system was easy to use                      ","I think that I would need the support of a technical person to be able to use this system","I found the various functions in this system were well integrated","I thought there was too much inconsistency in this system","I would imagine that most people would learn to use this system very quickly","I found the system very cumbersome to use","I felt very confident using the system","I needed to learn a lot of things before I could get going"
"2017/11/15 3:53:35 nachm. MEZ","3","2","3","4","2","4","4","5","2","1"
"2017/11/15 3:54:45 nachm. MEZ","4","4","2","1","3","4","4","4","2","2"
"2017/11/15 3:55:02 nachm. MEZ","2","4","4","3","2","4","4","3","4","2"
"2017/11/15 6:02:11 nachm. MEZ","5","2","4","1","4","1","5","3","4","2"
"2017/11/15 6:02:34 nachm. MEZ","5","1","2","2","4","2","2","3","4","2"
"2017/11/17 11:55:03 vorm. MEZ","4","2","4","2","4","3","4","2","4","3"
"2017/11/17 1:43:08 nachm. MEZ","5","2","3","1","4","2","5","1","3","2"
"2017/11/21 10:19:34 vorm. MEZ","3","3","4","2","4","3","4","2","3","2"
"2017/11/21 1:03:56 nachm. MEZ","2","1","4","1","4","2","5","4","3","1"
"2017/11/21 2:00:39 nachm. MEZ","4","2","4","1","3","4","2","2","4","3"
"2017/11/21 3:28:07 nachm. MEZ","4","1","5","2","4","1","4","3","4","1"
"2017/11/23 10:47:14 vorm. MEZ","5","2","4","1","3","2","4","1","4","3"
"2017/11/23 2:00:26 nachm. MEZ","1","2","1","3","3","4","1","5","2","3"
"2017/11/23 4:11:33 nachm. MEZ","4","1","5","1","5","2","5","1","4","1"
"2017/11/24 11:07:20 vorm. MEZ","3","1","4","1","4","2","4","1","4","1"
"2017/11/24 1:03:13 nachm. MEZ","4","4","3","1","2","3","4","2","4","4"
"2017/11/24 2:19:13 nachm. MEZ","4","2","4","1","4","2","4","2","4","4"
